country,x,y
Albania,20.04982,41.14249
Andorra,1.560546,42.5421
Armenia,44.92934,40.28997
Austria,14.12642,47.58524
Azerbaijan,47.66378,40.34413
Belarus,28.03209,53.53137
Belgium,4.640651,50.63998
BosniaandHerz,17.76874,44.1745
Bulgaria,25.21548,42.76881
Croatia,16.42395,45.15948
NCyprus,33.56863,35.26293
Cyprus,33.00576,34.91644
CzechRep,15.31243,49.73346
Denmark,9.355992,56.24042
Estonia,25.83219,58.68573
Finland,26.28357,64.50504
France,2.452759,46.62007
Georgia,43.50797,42.16859
Germany,10.37214,51.0876
Greece,22.58459,39.47906
Hungary,19.39556,47.16276
Iceland,-18.57388,64.99539
Ireland,-8.134511,53.17394
Italy,12.14883,43.52943
Kazakhstan,67.29311,48.15722
Kosovo,20.87246,42.57085
Latvia,24.91242,56.85076
Liechtenstein,9.535578,47.13567
Lithuania,23.89199,55.32607
Luxembourg,6.071828,49.76713
Malta,14.44334,35.88985
Moldova,28.45664,47.19487
Monaco,7.406353,43.75315
Montenegro,19.23882,42.78867
Netherlands,5.642114,52.28207
Macedonia,21.6821,41.59533
Norway,13.90832,64.2368
Poland,19.39011,52.12754
Portugal,-7.977612,39.67736
Romania,24.97294,45.85243
Russia,99.06258,61.66151
SanMarino,12.45924,43.94084
Serbia,20.78954,44.22135
Slovakia,19.47906,48.70529
Slovenia,14.80441,46.11545
Spain,-3.563367,40.39979
Sweden,16.7331,62.83818
Switzerland,8.208662,46.79768
Turkey,35.42208,38.99076
Ukraine,31.38308,48.99746
UnitedKingdom,-2.506886,53.93774
Vatican,12.43309,41.89526
